song_id,artist,title,dominant_emotion,dominant_sentiment,emotion_distribution,sentiment_distribution
1450763,Isis,Hall of the Dead,fear,negative,"{'anger': 0.05179070030928257, 'anticipation': 0.039556324690514885, 'joy': 0.039556324690514885, 'surprise': 0.07205536939295688, 'trust': 0.2279010133371106, 'fear': 0.3254531562102213, 'sadness': 0.24368711136939894}","{'negative': 0.5031416226597547, 'positive': 0.49685837734024535}"
351374,Mr. Criminal,A Better Way,anger,negative,"{'anticipation': 0.07475997661182375, 'fear': 0.24436135526660466, 'sadness': 0.11087775201157075, 'anger': 0.25070225697074083, 'disgust': 0.213708390532701, 'surprise': 0.02254275634626694, 'joy': 0.04069702432531012, 'trust': 0.042350487934981966}","{'negative': 0.7789682357270945, 'positive': 0.22103176427290555}"
6628665,Laur Elle,Wallflower,joy,positive,"{'anger': 0.030826837176044137, 'joy': 0.30308948917394674, 'surprise': 0.09494933633143968, 'anticipation': 0.26836641684679324, 'trust': 0.24861931195103787, 'disgust': 0.01804953617357957, 'fear': 0.01804953617357957, 'sadness': 0.01804953617357957}","{'negative': 0.3648440863670231, 'positive': 0.635155913632977}"
7013938,Big Thief,Shoulders Live at The Bunker Studio,joy,positive,"{'joy': 0.33162664455724633, 'trust': 0.3143232665593253, 'anticipation': 0.08520941105013678, 'sadness': 0.11836142503594847, 'anger': 0.05045539198373276, 'disgust': 0.03226509083195655, 'fear': 0.05045539198373276, 'surprise': 0.01730337799792106}","{'positive': 0.7548316977899578, 'negative': 0.24516830221004215}"
3730308,Chuck Wicks,Tell Me,sadness,negative,"{'sadness': 0.273752599782777, 'surprise': 0.20084040606372694, 'anticipation': 0.12961495664070743, 'fear': 0.07890140019459008, 'disgust': 0.08537169828253797, 'anger': 0.07105015908880637, 'joy': 0.16046877994685435}","{'negative': 0.6736676248866087, 'positive': 0.32633237511339125}"
6344328,Fro Hummer,Danger,sadness,negative,"{'joy': 0.004346228653394348, 'surprise': 0.004428794552181958, 'trust': 0.11758072269439887, 'anticipation': 0.0004414120585217975, 'fear': 0.12253260335460191, 'sadness': 0.4362817302253861, 'disgust': 0.3143885084615151}","{'positive': 0.011194731733361, 'negative': 0.988805268266639}"
1533705,Marc Broussard,Jeremiahs Prayer,joy,positive,"{'joy': 0.25356779137795554, 'trust': 0.2534173274071722, 'anticipation': 0.12946303991726274, 'surprise': 0.05597343419056314, 'anger': 0.08126418662402364, 'disgust': 0.0851640781988696, 'fear': 0.0705750711420766, 'sadness': 0.0705750711420766}","{'positive': 0.7248256998208434, 'negative': 0.27517430017915656}"
3141755,Shinobu,Colonial Kissing Booth,joy,positive,"{'trust': 0.11742942595735012, 'fear': 0.16431209089399226, 'sadness': 0.16431209089399226, 'anticipation': 0.13439757989787415, 'joy': 0.41954881235679126}","{'positive': 0.8140582327817178, 'negative': 0.18594176721828215}"
4898702,LIL BOODANG,NORA,joy,positive,"{'anticipation': 0.2052687296172947, 'joy': 0.5922445199321473, 'trust': 0.0748122982165336, 'fear': 0.04681385978216335, 'sadness': 0.04681385978216335, 'surprise': 0.03404673266969764}","{'positive': 0.926745566182715, 'negative': 0.07325443381728498}"
2216483,Antoine Clamaran,Gold - Original Radio Edit,joy,positive,"{'trust': 0.13204626489874674, 'sadness': 0.18795733507545176, 'joy': 0.19846505784422216, 'anticipation': 0.1353158053030769, 'surprise': 0.13604886588241583, 'fear': 0.1870477680536632, 'anger': 0.023118902942423428}","{'positive': 0.9451047817538225, 'negative': 0.054895218246177394}"
2373467,Lucien Parker,You Gone Love It,joy,positive,"{'joy': 0.6986914805604562, 'sadness': 0.08104243392614352, 'anger': 0.07152497017150158, 'fear': 0.04240257421945924, 'anticipation': 0.023242341738260827, 'surprise': 0.018290751307130607, 'trust': 0.04661451543139024, 'disgust': 0.01819093264565786}","{'positive': 0.8848633814795297, 'negative': 0.11513661852047043}"
4682786,Anna Gordon,Rotten Cherries,joy,positive,"{'joy': 0.25778908962850144, 'trust': 0.23170194328548835, 'anticipation': 0.1958498460658941, 'surprise': 0.1468390242520683, 'anger': 0.08571424803291405, 'fear': 0.07110151768608702, 'disgust': 0.003599853070208076, 'sadness': 0.007404477978838663}","{'positive': 0.752768221399148, 'negative': 0.24723177860085202}"
6044499,Marc With a C,Not There At All,trust,negative,"{'joy': 0.12461665261523015, 'trust': 0.27799749981367594, 'anticipation': 0.056761692236747555, 'sadness': 0.24873544079024396, 'surprise': 0.01521465032516998, 'fear': 0.23878066769020279, 'anger': 0.01533211889836332, 'disgust': 0.022561277630366357}","{'positive': 0.42994119439022027, 'negative': 0.5700588056097797}"
785605,Alan Parsons,I’m Talking to You,anticipation,positive,"{'sadness': 0.1264330247599799, 'anticipation': 0.22390358155191012, 'joy': 0.1110613744253237, 'trust': 0.19262330178635678, 'fear': 0.21049947628732343, 'disgust': 0.09248440016577886, 'anger': 0.032182814425470635, 'surprise': 0.010812026597856746}","{'negative': 0.43741761883989283, 'positive': 0.5625823811601072}"
4287125,Fil Bo Riva,Go Rilla,joy,negative,"{'sadness': 0.08508830471755624, 'joy': 0.3769157111774975, 'trust': 0.3472253124705487, 'fear': 0.027408152904002246, 'surprise': 0.02500162740251081, 'anticipation': 0.13836089132788443}","{'positive': 0.2484349292862635, 'negative': 0.7515650707137365}"
1549998,Rocket from the Tombs,Sonic Reducer,fear,negative,"{'anticipation': 0.15251215897253403, 'joy': 0.021131386038628224, 'trust': 0.17456780418612236, 'anger': 0.15020838293789351, 'disgust': 0.15020838293789351, 'fear': 0.17504339949310818, 'sadness': 0.16643868135840015, 'surprise': 0.009889804075420113}","{'positive': 0.12333030542094292, 'negative': 0.8766696945790571}"
